date,visiting,home,visScore,homeScore,visHR,homeHR
20210401,PIT,CHN,5,3,1,0
20210401,SLN,CIN,11,6,2,2
20210401,LAN,COL,5,8,0,0
20210401,TBA,MIA,1,0,1,0
20210401,MIN,MIL,5,6,1,0
20210401,ATL,PHI,2,3,1,0
20210401,ARI,SDN,7,8,4,2
20210401,CHA,ANA,3,4,1,1
20210401,CLE,DET,2,3,1,1
20210401,TEX,KCA,10,14,0,3
20210401,TOR,NYA,3,2,1,1
20210401,HOU,OAK,8,1,2,0
20210401,SFN,SEA,7,8,4,0
20210402,LAN,COL,11,6,0,4
20210402,TBA,MIA,6,4,3,0
20210402,ARI,SDN,2,4,1,1
20210402,CHA,ANA,12,8,2,2
20210402,BAL,BOS,3,0,0,0
20210402,HOU,OAK,9,5,2,1
20210402,SFN,SEA,6,3,2,0
20210403,PIT,CHN,1,5,0,2
20210403,SLN,CIN,6,9,3,2
20210403,LAN,COL,6,5,1,2
20210403,TBA,MIA,7,12,1,2
20210403,MIN,MIL,2,0,1,0
20210403,ATL,PHI,0,4,0,0
20210403,ARI,SDN,0,7,0,1
20210403,CHA,ANA,3,5,1,1
20210403,BAL,BOS,4,2,0,0
20210403,CLE,DET,2,5,1,0
20210403,TEX,KCA,4,11,1,2
20210403,TOR,NYA,3,5,1,1
20210403,HOU,OAK,9,1,1,0
20210403,SFN,SEA,0,4,0,2
20210404,PIT,CHN,3,4,1,1
20210404,SLN,CIN,1,12,0,2
20210404,LAN,COL,4,2,1,0
20210404,MIN,MIL,8,2,2,1
20210404,ATL,PHI,1,2,1,1
20210404,ARI,SDN,3,1,0,1
20210404,CHA,ANA,4,7,0,3
20210404,BAL,BOS,11,3,0,1
20210404,CLE,DET,9,3,3,2
20210404,TEX,KCA,7,3,2,1
20210404,TOR,NYA,3,1,2,0
20210404,HOU,OAK,9,2,3,0
20210405,MIL,CHN,3,5,1,3
20210405,PIT,CIN,3,5,3,2
20210405,SLN,MIA,4,1,1,0
20210405,NYN,PHI,3,5,0,0
20210405,SFN,SDN,3,2,3,0
20210405,HOU,ANA,6,7,1,1
20210405,TBA,BOS,2,11,0,1
20210405,KCA,CLE,3,0,1,0
20210405,MIN,DET,15,6,2,3
20210405,BAL,NYA,0,7,0,2
20210405,LAN,OAK,10,3,2,1
20210405,CHA,SEA,6,0,1,0
20210405,TOR,TEX,6,2,2,0
20210406,MIL,CHN,4,0,2,0
20210406,PIT,CIN,1,14,1,2
20210406,ARI,COL,10,8,2,5
20210406,SLN,MIA,4,2,1,0
20210406,NYN,PHI,8,4,2,1
20210406,SFN,SDN,1,3,1,1
20210406,ATL,WAS,5,6,4,1
20210406,HOU,ANA,4,2,3,1
20210406,TBA,BOS,5,6,0,1
20210406,MIN,DET,3,4,2,0
20210406,BAL,NYA,2,7,1,2
20210406,LAN,OAK,5,1,3,0
20210406,CHA,SEA,10,4,3,0
20210406,TOR,TEX,4,7,2,4
20210407,MIL,CHN,4,2,2,1
20210407,PIT,CIN,4,11,1,4
20210407,ARI,COL,0,8,0,0
20210407,SLN,MIA,7,0,2,0
20210407,NYN,PHI,2,8,0,3
20210407,SFN,SDN,3,2,1,1
20210407,ATL,WAS,7,6,0,1
20210407,ATL,WAS,2,0,1,0
20210407,TBA,BOS,2,9,0,1
20210407,KCA,CLE,2,4,1,2
20210407,MIN,DET,3,2,0,1
20210407,BAL,NYA,4,3,2,0
20210407,LAN,OAK,3,4,0,1
20210407,CHA,SEA,4,8,0,0
20210407,TOR,TEX,1,2,1,1
20210408,ARI,COL,3,7,1,1
20210408,MIA,NYN,2,3,0,1
20210408,CHN,PIT,4,2,3,0
20210408,MIL,SLN,1,3,0,1
20210408,BOS,BAL,7,3,2,2
20210408,KCA,CHA,0,6,0,2
20210408,OAK,HOU,2,6,0,3
20210408,SEA,MIN,2,10,1,3
20210408,ANA,TOR,7,5,1,2
20210409,CIN,ARI,6,5,1,1
20210409,PHI,ATL,1,8,0,3
20210409,WAS,LAN,0,1,0,1
20210409,COL,SFN,1,3,0,0
20210409,DET,CLE,1,4,1,2
20210409,OAK,HOU,6,2,3,0
20210409,NYA,TBA,5,10,2,1
20210409,SDN,TEX,3,0,0,0
20210409,ANA,TOR,7,1,2,0
20210410,CIN,ARI,3,8,1,2
20210410,PHI,ATL,4,5,2,1
20210410,WAS,LAN,5,9,2,1
20210410,MIA,NYN,3,0,1,0
20210410,CHN,PIT,2,8,0,1
20210410,COL,SFN,3,4,1,1
20210410,MIL,SLN,9,5,2,1
20210410,BOS,BAL,6,4,1,2
20210410,DET,CLE,3,11,2,5
20210410,OAK,HOU,7,3,2,1
20210410,SEA,MIN,4,3,2,1
20210410,NYA,TBA,0,4,0,2
20210410,SDN,TEX,7,4,3,1
20210410,ANA,TOR,1,15,1,0
20210411,CIN,ARI,0,7,0,2
20210411,PHI,ATL,7,6,3,3
20210411,WAS,LAN,0,3,0,1
20210411,MIA,NYN,5,6,0,2
20210411,CHN,PIT,1,7,1,1
20210411,COL,SFN,0,4,0,2
20210411,MIL,SLN,9,3,3,0
20210411,BOS,BAL,14,9,6,2
20210411,KCA,CHA,4,3,1,1
20210411,DET,CLE,2,5,1,0
20210411,SEA,MIN,8,6,3,1
20210411,NYA,TBA,8,4,1,2
20210411,SDN,TEX,2,0,2,0
20210412,OAK,ARI,9,5,1,0
20210412,MIA,ATL,5,3,1,0
20210412,CHN,MIL,3,6,1,0
20210412,SDN,PIT,6,2,1,0
20210412,CIN,SFN,3,0,2,0
20210412,WAS,SLN,5,2,1,1
20210412,CLE,CHA,3,4,1,1
20210412,DET,HOU,6,2,3,2
20210412,ANA,KCA,10,3,1,0
20210412,TEX,TBA,0,1,0,1
20210412,NYA,TOR,3,1,2,0
20210413,OAK,ARI,7,5,3,1
20210413,MIA,ATL,14,8,3,2
20210413,COL,LAN,0,7,0,4
20210413,CHN,MIL,3,2,1,1
20210413,PHI,NYN,3,4,0,1
20210413,PHI,NYN,0,4,0,0
20210413,SDN,PIT,4,8,1,0
20210413,CIN,SFN,6,7,2,3
20210413,WAS,SLN,3,14,0,3
20210413,SEA,BAL,4,3,2,1
20210413,SEA,BAL,6,7,2,0
20210413,CLE,CHA,2,0,0,0
20210413,DET,HOU,8,2,5,0
20210413,ANA,KCA,2,3,1,0
20210413,BOS,MIN,4,2,2,0
20210413,TEX,TBA,8,3,1,0
20210413,NYA,TOR,3,7,0,2
20210414,MIA,ATL,6,5,1,2
20210414,COL,LAN,2,4,0,2
20210414,CHN,MIL,0,7,0,1
20210414,PHI,NYN,1,5,1,1
20210414,SDN,PIT,1,5,0,1
20210414,CIN,SFN,0,3,0,0
20210414,WAS,SLN,6,0,1,0
20210414,CLE,CHA,0,8,0,1
20210414,DET,HOU,6,4,0,1
20210414,ANA,KCA,1,6,0,2
20210414,BOS,MIN,3,2,0,0
20210414,BOS,MIN,7,1,1,0
20210414,TEX,TBA,5,1,1,1
20210414,NYA,TOR,4,5,2,3
20210415,MIA,ATL,6,7,1,2
20210415,COL,LAN,5,7,2,2
20210415,SDN,PIT,8,3,1,0
20210415,ARI,WAS,11,6,4,2
20210415,SEA,BAL,4,2,1,1
20210415,SEA,BAL,2,1,2,1
20210415,CLE,CHA,4,2,1,0
20210415,TOR,KCA,5,7,1,0
20210415,BOS,MIN,3,4,0,1
20210415,DET,OAK,4,8,1,2
20210415,TEX,TBA,6,4,3,1
20210416,ATL,CHN,5,2,0,1
20210416,CLE,CIN,3,10,2,2
20210416,SFN,MIA,1,4,0,2
